A,B,C,D,E
53127,54233,54190,54160,53486
53629,53635,54482,53532,53325
53180,53133,53677,51126,54161
53577,53514,53755,51209,53331
53228,53556,53329,53466,53204
51237,53483,53792,54227,53493
53216,53596,53628,53813,51315
51183,53225,53087,53152,53229
53649,53300,53205,54137,53416
53258,54135,53118,54251,53058
53372,53265,53470,53588,51286
53507,53586,53321,53193,53539
53501,51283,53525,53302,53421
53672,54138,51222,53399,53391
54186,53764,51317,53675,53178
53239,53763,54236,53662,53475
54172,53459,53064,53267,53474
53760,53215,53283,51269,53444
53570,54240,53061,53245,53369
53317,53496,53646,53668,53063
53380,54223,53605,53174,51246
51210,53241,53343,53404,53361
51060,53555,53196,54253,53461
53785,53789,54239,51312,53651
51235,53149,51217,53287,53150
53220,53780,51130,54180,53222
54136,53188,53341,53797,53786
53431,53572,53489,53622,53601
54218,54139,53503,51151,53106
53394,53644,53637,53351,51159
53627,51241,53599,53585,54238
53757,51142,54195,53195,53804
53589,53429,53561,53492,51205
53656,53143,51167,53305,53122
53440,51194,53304,54189,51243
51264,53357,53348,54164,53084
53293,53453,53291,53201,51274
53281,53409,53753,51150,53218
51207,53518,54481,51180,53056
51220,53101,53100,53643,53155
51192,54469,51129,51147,53384
53077,53537,53584,53445,54167
53158,51254,53385,54166,54178
51189,53540,51119,53252,53344
53506,53531,53406,53175,53398
53339,49960,53105,53137,53581
51201,53509,53450,51313,53330
53547,53098,53223,53546,54231
53455,53422,53595,53111,53198
53653,53176,53232,51128,53173
53633,53573,54470,53621,51148
53251,53102,53469,53560,51229
54141,53310,53414,53579,53383
53505,54216,51140,54243,53517
53130,53269,51161,53811,53227
51162,51296,53340,53407,53632
53179,53091,53615,53125,53796
51193,53762,51314,53660,53371
54258,51216,51134,51288,53477
53151,53650,51271,51285,54125
53412,53366,51257,51236,53387
53436,53408,53086,54133,54247
53511,53446,53083,53510,53377
54224,53565,53072,53159,53261
53798,51298,53417,54143,53464
53311,53085,53471,51136,53332
53590,53448,53243,51188,53147
53116,54234,53379,53129,53355
53665,53182,53273,51295,53185
53121,53418,53611,53620,53543
53073,53313,51240,53482,53658
51287,51260,53574,51232,53791
51149,53360,51223,53462,53578
53393,53783,53145,53055,53097
54201,54129,53793,53139,53154
54140,53319,53246,53110,53657
53301,53782,53790,53288,54254
53076,53250,53549,53645,53189
54248,53107,53623,53754,53238
54215,53516,53541,53342,53275
53766,53527,51292,52909,53799
51195,53233,53386,51284,53552
53456,54134,54228,53594,51145
53190,51281,53148,53171,53128
53566,53156,53659,51219,51291
53437,53515,53199,53424,54198
51182,51204,53136,53307,51256
51200,53663,53146,53670,53297
53202,53166,51297,51218,53528
51307,53172,51176,51239,53410
51155,53336,54142,53480,54246
53082,54261,53602,53157,53591
53640,51227,54199,54185,53655
53382,53266,53476,51121,53451
53318,54173,53211,53648,51238
53534,53322,54468,53114,53208
53434,53326,53286,53236,53376
51310,51247,53598,53113,53309
53334,54171,53112,52910,51249
53454,51125,52499,53634,53781
53207,51158,53206,53500,53226
51153,53323,53388,53306,53481
51172,54252,53519,51197,53068
53259,53364,53278,53217,53631
53212,53538,51282,53568,51179
53181,51198,53465,53270,53162
51157,53165,54200,53109,53071
53096,53604,53630,54262,53426
53168,53163,53401,53432,53473
54244,54181,53213,51178,53187
54257,53809,53197,51250,53184
53616,53396,53638,54203,53553
53626,53583,53502,53264,51122
54196,53290,51131,53249,53177
53153,53284,53529,51255,53614
53802,53397,54217,54175,54169
51226,53320,53495,54184,54473
53787,53164,54245,53292,51289
51248,53494,51163,53609,51253
54194,53520,53117,51258,54256
51211,51279,53378,54197,51293
51273,53315,53070,53452,53060
53103,51244,53563,51245,53359
54255,53079,53078,51311,53169
53234,51177,53557,53550,51309
53160,53490,53327,53389,53123
53523,54485,51120,53603,53338
54170,53524,53587,53810,53544
54174,53554,53294,53413,53521
53328,53758,51277,54202,53370
53167,53337,53365,51186,51208
53438,51169,51234,53392,53636
53666,53352,53363,53600,53592
54193,51320,51166,51213,51275
53676,51221,53522,54168,53535
53263,53402,53065,53257,53567
