A,B,C,D,E
39676,38500,38371,39615,39488
38431,38583,38798,38858,38978
38914,38542,38523,38816,38478
38351,38552,38556,38674,39663
39062,38624,38756,38836,38735
38750,38904,38417,38460,38642
38801,38310,38639,38272,38662
38302,38755,38997,37261,38576
38557,38915,38782,38491,39645
38244,38510,39082,38961,38737
38935,38916,38558,38226,38834
38425,38740,39020,38640,38977
38427,37946,38305,38996,39652
38324,38382,39024,38669,38214
38645,38685,38686,38261,38627
39023,38516,38443,39081,38236
38578,38350,38229,38705,38638
38480,38440,38665,38354,39010
38822,38508,38423,38925,39675
38525,39047,38566,38497,38848
38668,38621,38327,38569,38906
38637,38222,38337,39017,38225
38821,38630,39006,38529,39649
38815,38644,38539,39039,38453
38766,38998,37941,38794,38948
38614,38514,38866,39669,38754
38770,38493,38862,38415,38530
38476,39043,39077,38684,38306
39666,38605,38764,38370,38597
38445,38969,38599,38659,38870
38579,38670,39033,38710,38567
38664,40062,38671,38827,39620
38828,38304,37955,39655,38317
38992,38270,38979,38878,38876
37925,38793,38800,38718,38432
38457,38254,39495,38256,37950
38263,37914,38742,39654,38991
38825,38449,38694,39009,38889
39038,38856,38546,38607,38470
38843,38730,38745,38275,38618
38482,38810,38899,38391,38352
38986,38738,38535,38606,38744
38648,39068,38931,38703,37953
38681,38789,38341,38629,38892
38568,39022,38887,38600,38746
38859,38295,38592,38591,38246
38753,38655,38300,39490,38898
37934,39617,38792,38498,38922
39625,38235,38752,38409,38265
38864,37944,38667,38441,38224
38854,39061,38903,38881,38989
38293,38951,39619,38701,39031
38545,38912,38731,38296,39630
38811,39657,38394,38325,38303
38496,38921,39046,38952,38248
38805,38646,38462,38758,38218
38847,38316,38531,38455,38619
39499,38896,37954,38704,38333
38430,39671,38987,38311,38886
38485,39067,39650,38787,39076
38841,38328,37919,38280,38309
38320,37952,38239,38444,38384
37948,38917,38388,38626,38332
38601,38654,38322,38541,38929
38984,38957,38633,38215,38390
38796,38357,38994,39003,38513
38849,38713,38781,39661,39659
38927,38312,38947,39025,38894
39662,39635,38773,38379,38580
38970,38301,38450,38908,38943
38465,38817,38383,38660,38602
38944,38727,38252,38728,40008
39028,38585,38474,38954,38719
38852,38481,39632,38956,38693
38720,37939,38403,38884,38559
38985,39653,38577,38625,38945
38477,39002,38548,38586,38620
38343,38492,38527,38509,39498
38273,38888,38680,38563,38928
38439,38589,38418,38632,38574
38381,38331,38759,39496,38941
38679,38910,38456,38695,37922
38243,38471,38231,38724,38799
38414,38749,39051,38451,38446
38861,38502,38490,38907,37961
38751,38507,38242,38434,38512
38691,38934,38706,38554,39658
39664,39631,38378,37956,38291
38298,38869,37920,38913,38656
39007,38288,39737,38452,38345
38786,38279,38699,38967,38779
39013,38461,38099,38955,37936
38806,39074,39070,38838,38581
39079,39660,38551,38874,38650
38269,38518,38880,39628,38707
38942,38405,37923,38344,38253
38725,38238,38392,38995,38294
38697,38442,38366,38893,38590
38318,38564,38358,38359,38286
38250,38360,38380,38924,38918
39059,38335,39629,38885,38547
38413,38271,39015,38571,39032
37916,38454,38612,39637,38268
38813,38532,38959,38572,38399
39053,39027,38408,38349,37915
38550,38635,38879,38314,38411
39639,37940,38433,39489,38661
38369,39640,38930,38628,38537
38760,39044,38290,39058,38307
39021,38260,37960,38517,38900
38459,38761,39624,38919,39005
38262,38729,38428,38832,39041
38593,38524,39048,38285,38487
38808,38259,38468,38447,39004
38438,38363,39500,37933,38784
39634,39049,39656,38851,38228
